primitive,threads,trial,mops_per_sec
mutex,1,0,208.85
mutex,1,1,213.04
mutex,1,2,219.84
mutex,1,3,213.39
mutex,1,4,213.13
mutex,2,0,134.97
mutex,2,1,135.21
mutex,2,2,132.51
mutex,2,3,132.94
mutex,2,4,132.04
mutex,3,0,47.41
mutex,3,1,48.58
mutex,3,2,46.56
mutex,3,3,45.79
mutex,3,4,46.05
mutex,4,0,66.73
mutex,4,1,66.36
mutex,4,2,66.44
mutex,4,3,66.07
mutex,4,4,66.76
mutex,6,0,66.91
mutex,6,1,66.38
mutex,6,2,67.00
mutex,6,3,66.14
mutex,6,4,67.08
mutex,8,0,92.63
mutex,8,1,93.17
mutex,8,2,88.27
mutex,8,3,92.52
mutex,8,4,92.66
mutex,10,0,100.44
mutex,10,1,101.72
mutex,10,2,100.76
mutex,10,3,99.91
mutex,10,4,99.32
rwlock,1,0,197.79
rwlock,1,1,196.65
rwlock,1,2,197.97
rwlock,1,3,197.64
rwlock,1,4,197.31
rwlock,2,0,52.22
rwlock,2,1,52.84
rwlock,2,2,49.70
rwlock,2,3,51.80
rwlock,2,4,51.37
rwlock,3,0,32.11
rwlock,3,1,33.69
rwlock,3,2,31.70
rwlock,3,3,34.74
rwlock,3,4,34.47
rwlock,4,0,20.82
rwlock,4,1,20.97
rwlock,4,2,21.44
rwlock,4,3,21.71
rwlock,4,4,21.71
rwlock,6,0,11.40
rwlock,6,1,12.78
rwlock,6,2,13.29
rwlock,6,3,12.48
rwlock,6,4,13.82
rwlock,8,0,1.81
rwlock,8,1,5.41
rwlock,8,2,5.19
rwlock,8,3,5.42
rwlock,8,4,5.40
rwlock,10,0,5.50
rwlock,10,1,5.09
rwlock,10,2,5.28
rwlock,10,3,5.92
rwlock,10,4,4.68
atomic,1,0,2150.72
atomic,1,1,2170.76
atomic,1,2,2161.34
atomic,1,3,2160.95
atomic,1,4,2172.54
atomic,2,0,4272.35
atomic,2,1,4273.05
atomic,2,2,4272.38
atomic,2,3,4256.38
atomic,2,4,4266.12
atomic,3,0,6316.71
atomic,3,1,6181.23
atomic,3,2,6197.84
atomic,3,3,6287.12
atomic,3,4,6282.40
atomic,4,0,8384.26
atomic,4,1,8120.14
atomic,4,2,8390.29
atomic,4,3,8400.83
atomic,4,4,8459.65
atomic,6,0,12495.51
atomic,6,1,12475.11
atomic,6,2,12552.25
atomic,6,3,12470.47
atomic,6,4,12439.92
atomic,8,0,15834.09
atomic,8,1,16546.91
atomic,8,2,16534.98
atomic,8,3,16322.31
atomic,8,4,16508.03
atomic,10,0,20240.89
atomic,10,1,17288.00
atomic,10,2,20197.95
atomic,10,3,20501.29
atomic,10,4,19750.43
